Name,API Name,Instance Memory,vCPUs,Physical Processor,Instance Storage,Network Performance,On Demand,RHEL On Demand cost,RHEL Reserved cost,Windows On Demand cost,Windows Reserved cost
R6IDN 12xlarge,r6idn.12xlarge,384 GiB,48 vCPUs,Intel Xeon 8375C (Ice Lake),2850 GB (2×1425 GB NVMe SSD),75 Gigabit,$5.7002 hourly,$6.8906 hourly,$4.7816 hourly,$7.9082 hourly,$5.7992 hourly
C5N 18xlarge,c5n.18xlarge,192 GiB,72 vCPUs,Intel Xeon Platinum 8124M,EBS only,100 Gigabit,$4.8960 hourly,$5.6740 hourly,$3.8620 hourly,$8.2080 hourly,$6.3960 hourly
R6ID Eight Extra Large,r6id.8xlarge,256 GiB,32 vCPUs,Intel Xeon 8375C (Ice Lake),1900 GB NVMe SSD,12.5 Gigabit,$2.9232 hourly,$3.2688 hourly,$2.1872 hourly,$4.3952 hourly,$3.3136 hourly
I3EN 12xlarge,i3en.12xlarge,384 GiB,48 vCPUs,Intel Xeon Platinum 8175,30000 GB (4×7500 GB NVMe SSD),50 Gigabit,$6.3840 hourly,$6.9020 hourly,$4.8760 hourly,$8.5920 hourly,$6.5660 hourly
M6IN Extra Large,m6in.xlarge,16 GiB,4 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 30 Gigabit,$0.3580 hourly,$0.4856 hourly,$0.3532 hourly,$0.5420 hourly,$0.4096 hourly
X2IEDN 32xlarge,x2iedn.32xlarge,4096 GiB,128 vCPUs,Intel Xeon Scalable (Icelake),3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$38.6820 hourly,$39.9108 hourly,$25.0298 hourly,$44.5700 hourly,$29.6890 hourly
C5 High-CPU 18xlarge,c5.18xlarge,144 GiB,72 vCPUs,Intel Xeon Platinum 8124M,EBS only,25 Gigabit,$3.8520 hourly,$5.6380 hourly,$4.2120 hourly,$7.1640 hourly,$5.7390 hourly
C6IN Metal,c6in.metal,256 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,200 Gigabit,$9.1392 hourly,$10.3680 hourly,$6.9865 hourly,$15.0272 hourly,$11.6457 hourly
C7A Eight Extra Large,c7a.8xlarge,64 GiB,32 vCPUs,AMD EPYC 9R14 Processor,EBS only,12.5 Gigabit,$2.0672 hourly,$2.8608 hourly,$2.1568 hourly,$3.5392 hourly,$2.8352 hourly
C5N 9xlarge,c5n.9xlarge,96 GiB,36 vCPUs,Intel Xeon Platinum 8124M,EBS only,50 Gigabit,$2.4480 hourly,$3.3410 hourly,$2.4350 hourly,$4.1040 hourly,$3.1980 hourly
X1E 16xlarge,x1e.16xlarge,1952 GiB,64 vCPUs,High Frequency Intel Xeon E7-8880 v3 (Haswell),1920 GB SSD,10 Gigabit,$19.3440 hourly,$20.0350 hourly,$12.6110 hourly,$22.2880 hourly,$14.8630 hourly
R7IZ Eight Extra Large,r7iz.8xlarge,256 GiB,32 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,12.5 Gigabit,$3.6320 hourly,$4.4256 hourly,$3.0818 hourly,$5.1040 hourly,$3.7602 hourly
R6IDN Metal,r6idn.metal,1024 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),7600 GB (4×1900 GB NVMe SSD),200 Gigabit,$15.2006 hourly,$16.4294 hourly,$10.8052 hourly,$21.0886 hourly,$15.4644 hourly
R4 High-Memory Quadruple Extra Large,r4.4xlarge,122 GiB,16 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,Up to 10 Gigabit,$1.2800 hourly,$1.6768 hourly,$1.2032 hourly,$2.0160 hourly,$1.5424 hourly
M6ID Double Extra Large,m6id.2xlarge,32 GiB,8 vCPUs,Intel Xeon 8375C (Ice Lake),474 GB NVMe SSD,Up to 12.5 Gigabit,$0.6132 hourly,$0.8684 hourly,$0.6415 hourly,$0.9812 hourly,$0.7543 hourly
M5 General Purpose Eight Extra Large,m5d.8xlarge,128 GiB,32 vCPUs,Intel Xeon Platinum 8175,1200 GB (2×600 GB NVMe SSD),10 Gigabit,$2.3360 hourly,$3.1300 hourly,$2.2650 hourly,$3.8080 hourly,$2.9440 hourly
X2IDN Metal,x2idn.metal,2048 GiB,128 vCPUs,Intel Xeon Scalable (Icelake),3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$19.3410 hourly,$20.5698 hourly,$13.1293 hourly,$25.2290 hourly,$17.7885 hourly
M8G Eight Extra Large,m8g.8xlarge,128 GiB,32 vCPUs,AWS Graviton4 Processor,EBS only,15 Gigabit,$1.8550 hourly,$2.6486 hourly,$2.0227 hourly,unavailable,unavailable
C5 High-CPU 24xlarge,c5d.24xlarge,192 GiB,96 vCPUs,Intel Xeon Platinum 8275L,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$5.8560 hourly,$8.2370 hourly,$6.0700 hourly,$10.2720 hourly,$8.1050 hourly
C5 High-CPU Metal,c5d.metal,192 GiB,96 vCPUs,Intel Xeon Platinum 8275L,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$5.8560 hourly,$6.8930 hourly,$4.7260 hourly,$10.2720 hourly,$8.1050 hourly
M5 General Purpose 12xlarge,m5.12xlarge,192 GiB,48 vCPUs,Intel Xeon Platinum 8175,EBS only,12 Gigabit,$2.9760 hourly,$4.1660 hourly,$3.0650 hourly,$5.1840 hourly,$4.0830 hourly
I7I 24xlarge,i7i.24xlarge,768 GiB,96 vCPUs,Intel Xeon Scalable (Emerald Rapids),22500 GB (6×3750 GB NVMe SSD),Up to 56.25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R4 High-Memory Double Extra Large,r4.2xlarge,61 GiB,8 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,Up to 10 Gigabit,$0.6400 hourly,$0.8952 hourly,$0.6584 hourly,$1.0080 hourly,$0.7712 hourly
C5N Metal,c5n.metal,192 GiB,72 vCPUs,Intel Xeon Platinum 8124M,EBS only,100 Gigabit,$4.8960 hourly,$6.6820 hourly,$4.8700 hourly,$8.2080 hourly,$6.3960 hourly
R7GD Metal,r7gd.metal,512 GiB,64 vCPUs,AWS Graviton3 Processor,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$5.2618 hourly,$6.8490 hourly,$4.9021 hourly,unavailable,unavailable
R7IZ 12xlarge,r7iz.12xlarge,384 GiB,48 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,25 Gigabit,$5.4480 hourly,$6.6384 hourly,$4.6226 hourly,$7.6560 hourly,$5.6402 hourly
R5N Metal,r5n.metal,768 GiB,96 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,100 Gigabit,$8.6880 hourly,$9.7250 hourly,$6.5100 hourly,$13.1040 hourly,$9.8890 hourly
I3EN Large,i3en.large,16 GiB,2 vCPUs,Intel Xeon Platinum 8175,1250 GB NVMe SSD,Up to 25 Gigabit,$0.2660 hourly,$0.2950 hourly,$0.2100 hourly,$0.3580 hourly,$0.2740 hourly
C8G Metal-48xl,c8g.metal-48xl,384 GiB,192 vCPUs,AWS Graviton4 Processor,EBS only,50 Gigabit,$9.6058 hourly,$11.4490 hourly,$8.1772 hourly,unavailable,unavailable
M7I 16xlarge,m7i.16xlarge,256 GiB,64 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,25 Gigabit,$4.1664 hourly,$5.7536 hourly,$4.3479 hourly,$7.1104 hourly,$5.7047 hourly
M6I Eight Extra Large,m6i.8xlarge,128 GiB,32 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,12.5 Gigabit,$1.9840 hourly,$2.3296 hourly,$1.6602 hourly,$3.4560 hourly,$2.7866 hourly
R5 Double Extra Large,r5.2xlarge,64 GiB,8 vCPUs,Intel Xeon Platinum 8175,EBS only,Up to 10 Gigabit,$0.6080 hourly,$0.7230 hourly,$0.4980 hourly,$0.9760 hourly,$0.7510 hourly
M5A Extra Large,m5a.xlarge,16 GiB,4 vCPUs,AMD EPYC 7571,EBS only,Up to 10 Gigabit,$0.2240 hourly,$0.2820 hourly,$0.1990 hourly,$0.4080 hourly,$0.3250 hourly
C5 High-CPU 9xlarge,c5d.9xlarge,72 GiB,36 vCPUs,Intel Xeon Platinum 8124M,900 GB NVMe SSD,12 Gigabit,$2.1960 hourly,$3.0890 hourly,$2.2760 hourly,$3.8520 hourly,$3.0390 hourly
I7IE 24xlarge,i7ie.24xlarge,768 GiB,96 vCPUs,Intel Xeon Scalable (Emerald Rapids),60000 GB (8×7500 GB NVMe SSD),Up to 100 Gigabit,$14.6832 hourly,$15.7200 hourly,unavailable,$19.0992 hourly,unavailable
M7I Extra Large,m7i.xlarge,16 GiB,4 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.2604 hourly,$0.3180 hourly,$0.2301 hourly,$0.4444 hourly,$0.3565 hourly
M8G 16xlarge,m8g.16xlarge,256 GiB,64 vCPUs,AWS Graviton4 Processor,EBS only,30 Gigabit,$3.7101 hourly,$4.4013 hourly,$3.1493 hourly,unavailable,unavailable
R6ID 16xlarge,r6id.16xlarge,512 GiB,64 vCPUs,Intel Xeon 8375C (Ice Lake),3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$5.8464 hourly,$6.5376 hourly,$4.3744 hourly,$8.7904 hourly,$6.6272 hourly
M7A Eight Extra Large,m7a.8xlarge,128 GiB,32 vCPUs,AMD EPYC 9R14 Processor,EBS only,12.5 Gigabit,$2.3957 hourly,$2.7413 hourly,$1.9330 hourly,$3.8677 hourly,$3.0594 hourly
I4I Double Extra Large,i4i.2xlarge,64 GiB,8 vCPUs,Intel Xeon 8375C (Ice Lake),1875 GB NVMe SSD,Up to 12 Gigabit,$0.8050 hourly,$1.0600 hourly,$0.7800 hourly,$1.1730 hourly,$0.8930 hourly
R5D 24xlarge,r5d.24xlarge,768 GiB,96 vCPUs,Intel Xeon Platinum 8175,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$8.3520 hourly,$9.3890 hourly,$6.2990 hourly,$12.7680 hourly,$9.6780 hourly
M5AD 16xlarge,m5ad.16xlarge,256 GiB,64 vCPUs,AMD EPYC 7571,2400 GB (4×600 GB NVMe SSD),12 Gigabit,$4.2880 hourly,$5.8750 hourly,$4.2890 hourly,$7.2320 hourly,$5.6450 hourly
G6e Graphics and Machine Learning GPU Double Extra Large,g6e.2xlarge,64 GiB,8 vCPUs,AMD EPYC 7R13 Processor,450 GB NVMe SSD,Up to 20 Gigabit,$3.2517 hourly,$3.5069 hourly,$2.3038 hourly,$3.6197 hourly,$2.4166 hourly
C6ID 12xlarge,c6id.12xlarge,96 GiB,48 vCPUs,Intel Xeon 8375C (Ice Lake),2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,$3.0744 hourly,$3.5928 hourly,$2.5426 hourly,$5.2824 hourly,$4.2322 hourly
M6ID 32xlarge,m6id.32xlarge,512 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$9.8112 hourly,$11.0400 hourly,$7.4099 hourly,$15.6992 hourly,$12.0691 hourly
M7A Extra Large,m7a.xlarge,16 GiB,4 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$0.2995 hourly,$0.4271 hourly,$0.3260 hourly,$0.4835 hourly,$0.3824 hourly
R7I Extra Large,r7i.xlarge,32 GiB,4 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.3192 hourly,$0.3768 hourly,$0.2687 hourly,$0.5032 hourly,$0.3952 hourly
M6ID 12xlarge,m6id.12xlarge,192 GiB,48 vCPUs,Intel Xeon 8375C (Ice Lake),2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,$3.6792 hourly,$4.1976 hourly,$2.8363 hourly,$5.8872 hourly,$4.5259 hourly
R6A 24xlarge,r6a.24xlarge,768 GiB,96 vCPUs,AMD EPYC 7R13 Processor,EBS only,37.5 Gigabit,$6.5664 hourly,$8.9472 hourly,$6.7245 hourly,$10.9824 hourly,$8.7597 hourly
C7G Eight Extra Large,c7g.8xlarge,64 GiB,32 vCPUs,AWS Graviton3 Processor,EBS only,15 Gigabit,$1.4554 hourly,$2.2490 hourly,$1.7533 hourly,unavailable,unavailable
M5 General Purpose Eight Extra Large,m5.8xlarge,128 GiB,32 vCPUs,Intel Xeon Platinum 8175,EBS only,10 Gigabit,$1.9840 hourly,$2.3300 hourly,$1.5960 hourly,$3.4560 hourly,$2.7220 hourly
I4I Extra Large,i4i.xlarge,32 GiB,4 vCPUs,Intel Xeon 8375C (Ice Lake),937 GB NVMe SSD,Up to 10 Gigabit,$0.4030 hourly,$0.4600 hourly,$0.3200 hourly,$0.5870 hourly,$0.4460 hourly
C6ID 32xlarge,c6id.32xlarge,256 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),7600 GB (4×1900 GB NVMe SSD),50 Gigabit,$8.1984 hourly,$10.7712 hourly,$7.9706 hourly,$14.0864 hourly,$11.2858 hourly
R5D 16xlarge,r5d.16xlarge,512 GiB,64 vCPUs,Intel Xeon Platinum 8175,2400 GB (4×600 GB NVMe SSD),20 Gigabit,$5.5680 hourly,$6.2590 hourly,$4.1990 hourly,$8.5120 hourly,$6.4520 hourly
M5 General Purpose Double Extra Large,m5d.2xlarge,32 GiB,8 vCPUs,Intel Xeon Platinum 8175,300 GB NVMe SSD,Up to 10 Gigabit,$0.5840 hourly,$0.6990 hourly,$0.4830 hourly,$0.9520 hourly,$0.7360 hourly
