項番	大項目	中項目	予定時刻		"対象サーバ
（作業端末）"	対象ユーザ	作業内容	確認内容／注意点
			開始	終了				
1	VPN接続				運用管理端末	adm001	端末にログイン（ユーザID：adm001）	
2							VPNに接続する（VPN名：VPN-dneo）	VPNが接続されていること
3	サーバサインイン	サーバサインイン			pdn01	local-admin	リモートデスクトップを起動する	
4							[コンピュータ]欄に[172.22.167.33]を入力し、[接続]をクリックする	
5							[Windowsセキュリティ]画面でユーザ名ととパスワードを入力し[OK]をクリックする	正常にサインインできること
6	ユーザアカウントコントロールの無効				pdn01	local-admin	タスクバーの[スタートメニュー]から[コントロールパネル]をクリックする。	
7							[ユーザーアカウント]をクリックする。	
8							[ユーザーアカウント制御設定の変更]をクリックする。	
9							スライドバーを一番下(通知しない)に設定する。	
10							[OK]をクリックする。	
11	リモートデスクトップ有効化				pdn01	local-admin	タスクバーの[スタートメニュー]から[サーバーマネージャー]をクリックする。	VPNが接続されていることを確認する
12							左ペインから[ローカルサーバー]をクリックする。	
13							右ペインの[リモートデスクトップ]の右側のリンクをクリックする。	
14							[システムのプロパティ]の[リモート]をクリックする。	
15							"以下を設定し、[OK]をクリックする。

○このコンピューターへのリモート接続を許可しない
●このコンピューターへのリモート接続を許可する
　 ■ネットワーク レベル認証でリモート デスクトップを実行しているコンピューターからのみ
　　　接続を許可する(推奨)"	[ローカルサーバ]プロパティの[リモートデスクトップ]右側が[有効]担っていることを確認する。 
16	DNS設定追加				pdn02	local-admin	「サーバマネージャー」の左ペインから[ローカルサーバー]をクリックする。	
17							「Ethenet0」のIPアドレス[172.21.167.34]をクリックする。	
18							「ネットワーク接続」画面で、Ethernet0をダブルクリックする。	
19							「Ethernet0のプロパティ」画面で、[インターネット プロトコル バージョン 4(TCP/IPv4)]をダブルクリックする。	
20							"「インターネット プロトコル バージョン 4(TCP/IPv4)のプロパティ」画面で、IPアドレスが""172.21.167.34""が入っていることを確認し、優先DNSサーバーと代替DNSサーバーのIPアドレス欄に以下のIPアドレスを入力し、[OK]をクリックする。

優先DNSサーバー：[172.18.31.62]
代替DNSサーバー：[172.18.31.61]"	※IPアドレスが"172.21.167.34"ではない場合は、違うEthernetのアダプタを開いて、対象のIPアドレスが設定されているものにDNSサーバーの設定を行うこと。
21							「Ethernet0のプロパティ」画面で、[OK]をクリックする。	
22							「インターネット プロトコル バージョン 4(TCP/IPv4)のプロパティ」画面まで同様の手順で開き、DNSサーバのIPアドレスが正しく入力されていることを確認し、[キャンセル]で閉じていく。	※１回の設定でDNSサーバーの設定が反映されていないことがあるため、必ず確認すること。
23	JPTドメインに参加	JPTドメイン参加			pdn01	local-admin	タスクバーの[スタートメニュー]から、[サーバーマネージャー]をクリックする。	
24							左ペインから[ローカルサーバー]をクリックする。	
25							右ペインの[コンピュータ名]の右側のリンクをクリックする。	
26							[システムのプロパティ]-[コンピューター名]タブをクリックする。	
27							[変更]をクリックする。	
28							[コンピューター名/ドメイン名の変更]画面でドメインにチェックを入れる。	
							ドメイン名に[jpt.jptransport.jp]を入力する。	
30							"ユーザ名とパスワードに[jpt\JPiT_admin][******]を入力し、[OK]をクリックする。
[jpt.jptransport.jpドメインへようこそ。]が表示されれば、ドメイン参加完了です。"	
31							再起動を要求されるので、サーバの再起動をする。	
32		サーバサインイン			pdn01	jpit_admin	リモートデスクトップを起動する	
33							[コンピュータ]欄に[172.22.167.33]を入力し、[接続]をクリックする	
34							[Windowsセキュリティ]画面でユーザ名ととパスワードを入力し[OK]をクリックする	正常にサインインできること
35	ファイアウォール無効化				pdn01	jpit_admin	タスクバーの[スタートメニュー]から[サーバーマネージャー]をクリックする。	
36							左ペインから[ローカルサーバー]をクリックする。	
37							右ペインの[Windows ファイアウォール]の右側のリンクをクリックする。	
38							[Windows ファイアウォール]から左ペインの[詳細設定]をクリック	
39							"ファイアウォールのプロファイルの[ドメイン][プライベートネットワーク]、[パブリックネットワーク]それぞれの設定で[無効にする]を選択し[OK]をクリックする。
※ドメイン参加後、ドメインのプロファイルが追加された場合は、同じく[無効にする]を選択する。"	
40	グループポリシー適用				pdn01	jpit_admin	タスクバーの[スタートメニュー]で"cmd[Enter]"を入力し、「コマンドプロンプト」を起動する。	
34							"「コマンドプロンプト」画面で以下のコマンドを入力し、[Enter]を押下する。
gpupdate /force"	グループポリシーを強制適用する。
35							"「コマンドプロンプト」画面で以下のコマンドを入力し、[Enter]を押下する。
gpresult /v"	グループポリシーの適用結果を表示する。
43	イベントログ設定(OS基本)				pdn01	jpit_admin	タスクバーの[スタートメニュー]から[サーバーマネージャー]をクリックする。	
44							メニューから[ツール]から[イベントビューア]をクリックする。	
45							左ペインの[Windows ログ]をクリックする。	
46							右ペインのログ名(アプリケーション/Security/システム)の上で右クリックし、[プロパティ]をクリックする。	
47							"以下を設定し、[OK]をクリックする。

最大ログサイズ：20,480 KB
○必要に応じてイベントを上書きする(最も古いイベントから)
●イベントを上書きしないでログをアーカイブする
○イベントを上書きしない(ログは手動で消去)"	
48	Windows Server　バックアップツールインストール				pdn01	jpit_admin	タスクバーの[スタートメニュー]から[サーバマネージャー]をクリックする。	
49							メニューから[役割と機能の追加]をクリックする。	
50							[開始する前に]画面で[次へ]をクリックする。	
51							[インストールの種類の選択]画面で[●役割ベースまたは機能ベースのインストール]を選択し、[次へ]をクリックする。	
52							"「対象サーバの選択」画面で、以下を設定し[次へ]をクリックする。

●サーバプールからサーバを選択
〇仮想ハードディスクから選択

サーバプール
pdn01.jpt.transport.co.jp xx.xx.xx.xx Microsoft Windows Server 2019 Standard Evaluation"	
53							左ペインで[機能]をクリックする。	
54							[機能の選択]画面の[機能]一覧から[Windows Server バックアップ]にチェックを入れ、[次へ]をクリックする。	
55							[インストールオプションの確認]画面で、[インストール]をクリックする。	
56							インストールが完了したら、[閉じる]をクリックする。	
57	IISインストール				pdn01	jpit_admin	タスクバーの[スタートメニュー]から[サーバマネージャー]をクリックする。	
58							メニューから[役割と機能の追加]をクリックする。	
59							[開始する前に]画面で[次へ]をクリックする。	
60							[インストールの種類の選択]画面で[●役割ベースまたは機能ベースのインストール]を選択し、[次へ]をクリックする。	
61							"「対象サーバの選択」画面で、以下を設定し[次へ]をクリックする。

●サーバプールからサーバを選択
〇仮想ハードディスクから選択

サーバプール
pdn01.jpt.transport.co.jp xx.xx.xx.xx Microsoft Windows Server 2019 Standard Evaluation"	
62							左ペインで[サーバの役割]をクリックする。	
63							[サーバの役割の選択]画面の[役割]一覧から[Web サーバー (IIS)]にチェックを入れ、[次へ]をクリックする。	
64							[Web サーバー (IIS)]にチェックをつけようとすると確認ダイアログが表示されます。[機能の追加を]クリックする。	
65							[機能の選択]画面で、[次へ]をクリックする。	
66							[Web サーバーの役割 (IIS)]の画面で、[次へ]をクリックする。	
67							[役割サービスの選択]画面の[役割サービス]一覧から[アプリケーション開発]を開き[CGI]と[ISAPI拡張]にチェックを入れ、[次へ]をクリックする。	
68							[インストールオプションの確認]画面で、[インストール]をクリックする。	
69							インストールが完了したら、[閉じる]をクリックする。	
70	Scriptsフォルダ作成	C:\inetpub\Scriptsフォルダ作成			pdn01	jpit_admin	[エクスプローラ]から[C:]を開く。	
71							[C:]フォルダ配下の[inetpub]を右クリック、[開く]をクリックする。	
72							[C:\inetpub]フォルダ内で右クリック、[新規作成]を選択、[フォルダー]をクリックする。	
73							フォルダ名に[Scripts]を入力する。	
74							作成した[Scripts]フォルダで右クリックし、[プロパティ]をクリックする。	
75							「Scriptsのプロパティ」画面で、[セキュリティ]をクリックする。	
76							「セキュリティタブ」で、[編集]をクリックする。	
77							「Scriptsのアクセス許可」画面で、[追加]をクリックする。	
78							"「ユーザー、コンピューター、サービスアカウントまたはグループの選択」画面で、以下が設定されていることを確認し、[OK]をクリックする。

選択するオブジェクト名を入力してください
Everyone"	
79							"「Scriptsのアクセス許可」画面で、[Everyone]を選択、以下を設定し[OK]をクリックする。

フルコントロール
許可:☑
拒否:□"	
80							「Scriptsのプロパティ」画面で、[詳細設定]をクリックする。	
81							"「Scriptsのセキュリティの詳細設定」画面で以下を設定する。
Everyone

☑子オブジェクトのアクセス許可エントリすべてを、子のオブジェクトからの継承可能なアクセス許可エントリで置き換える"	
82							「Windows セキュリティ」ダイアログで、[はい]をクリックする。	
83							「Scriptsのセキュリティの詳細設定」画面で、[適用]をクリックし[OK]をクリックする。	
84	IIS設定	CGI制限			pdn01	jpit_admin	タスクバーの[スタートメニュー]から[サーバマネージャー]をクリックする。	
85							サーバーマネージャーの[ツール]から、[インターネットインフォメーションサービス(IIS)マネージャー]をクリックする。	
86							「インターネットインフォメーションサービス(IIS)マネージャー」で[ISAPIおよびCGIの制限アイコン]をダブルクリックする。	
87							「ISAPIの制限およびCGIの制限」画面、右ペインから[機能設定の編集]をクリックする。	
88							"「ISAPIおよびCGI制限の設定の編集」ダイアログで、以下を設定し[OK]をクリックする。

☑特定できないCGIモジュールを許可する
☑特定できないISAPIモジュールを許可する"	
89		アプリケーションの追加			pdn01	jpit_admin	「インターネットインフォメーションサービス(IIS)マネージャー」画面、左ペイン[Default Web Site]を右クリックし、[アプリケーションの追加]をクリックする。	
90							"「アプリケーションの追加」で以下を設定し、[OK]をクリックする。

エイリアス:
Scripts

物理パス:
C:\inetpub\Scripts"	
91							「インターネットインフォメーションサービス(IIS)マネージャー」画面、左ペイン[Default Web Site]配下の、[Scripts]をクリックする。	
92							「/Scriptsホーム」画面で、[ハンドラーマッピング]をダブルクリックする。	
93							「ハンドラーマッピング」画面、右ペインから[機能のアクセス許可の編集]をクリックする。	
94							"「特権のアクセス許可の編集」ダイアログで、以下を設定し[OK]をクリックする。

アクセス許可:
□読み取り
☑スクリプト
　☑実行"	
95		MIMEの種類設定			pdn01	jpit_admin	左ペインから「Default Web Site」をクリックし、右ペインから「MIMEの種類」をクリックする。	
96							"登録されている拡張子の中から以下の３種類の拡張子が登録されていることを確認し、登録されていない場合は、「操作」メニューから[追加]をクリックして、登録する。

ファイル名の拡張子：「.bcmap」
MIMEの種類：「application/octet-stream」

ファイル名の拡張子：「.svg」
MIMEの種類：「image/svg+xml」

ファイル名の拡張子：「.woff」
MIMEの種類：「application/x-font-woff」"	
