1	Tera Termを起動する	移行元サーバ（Linux）	"1. Tera Termに接続する
　TCP/IPを選択した状態でホスト部分に指定のIPアドレスを入力
　し、OKで次に進む(各接続先は備考欄を参照)
2. ユーザ名とパスフレーズを入力してSSH認証を行う(各接続先は備考欄を参照)"	[○○○○＠○○ ~]#でログインできていることを確認					"・郵政Box用NFSサーバ1号機
メンテナンス用：172.22.166.225

ユーザ名：root
初期パスフレーズ：wUBa8e+BcQ 

------------------------------------
・郵便Box用NFSサーバ1号機
メンテナンス用：172.22.166.161

ユーザ名：root
初期パスフレーズ：NzU4MjNYWE

------------------------------------
・かんぽBox用NFSサーバ1号機
メンテナンス用：172.22.166.97

ユーザ名：root
初期パスフレーズ：グループ共有NFSサーバ(かんぽ)3号機のスナップショットよりクローン（8月～9月を予定）
"
2	Tera Termのログ取得を開始する	Tera Term	"1．[ファイル]→[ログ]をクリックする
2．保存する場所を選択する
ドキュメント配下に「teratermlog」フォルダを作成し、保存先に設定する。
ファイル名に作業日付を追加する 例：0801_teraterm.log
3. [保存]をクリック

"	"「teratermlog」フォルダにファイルが作成されることを確認

※ログ保存を終了するときは、[ファイル]→[ログを終了]もしくは、TeraTerm接続を切断する（Exitで抜ける）　"					"ログが保存されている間は、
・[ファイル]→[ログを表示]　にて記録されている状況の確認が可能。
・[ファイル]→[ログを中断]　にて記録を一時中断することが可能。　再度、[ログを中断]をクリックすることで、再開。"
3	Sambaのバージョン確認	Tera Term	"下記コマンドを実行する
　smbd -V"	"「Version 4.10.16」などバージョン情報が表示されることを確認
※sambaがインストールされているかの確認事項の為、バージョン自体は特に気にしなくても良い"					"インストールされていない場合は作業を中断し、報告すること。
※NFSサーバが設置される内部セグメントからはインターネットへの接続ができないため、パッケージインストールは不可。
"
4	フォルダ構成	Tera Term	"1. 下記コマンドでディレクトリを移動する
　cd /
2. 下記コマンドでフォルダを確認する
　ls -l /DATA2/data/
　
　
"	スナップショットがマウントされていることを確認する					シート「【参考】現行システムのディレクトリ構造」参照
5	ディレクトリの権限を変更する	Tera Term	"下記コマンドを実行し、アクセス権限を設定する
　ls -l /DATA2
　chmod -R 757 /DATA2"						
