フレームワーク選択	フレームワーク内容
・PREP法の形式を遵守し、内容を作成してください。	"#PREP法の内容
1.Point:主張
2.Reason:理由
3.Example:具体例
4.Point:結論の再確認"
・DESC法の形式を遵守し、内容を作成してください。	"#DESC法の内容
1.Describe:ありがちな悩みや問題点などを客観的に提示
2.Express:Describeの客観的な事実に対して、主観的な意見を伝える
3.Suggest/Specify:改善するための具体的な提案を示す
4.Consequence:提案に対し、承認した場合/拒否した場合の結果を伝える"
・FABE法の形式を遵守し、内容を作成してください。	"#FABE法の内容
1.Feature:商品の特徴の提示、概要の説明等を行う
2.Advantage:競合商品よりも優れいている点(利点)を強調する
3.Benefit:顧客が得られるメリットを提示する
4.Evidence:裏付けのデータ・実績など、根拠を補強する情報を伝える"
・BEAF法の形式を遵守し、内容を作成してください。	"#BEAF法の内容
1.Benefit:顧客が得られるメリットを提示する
2.Evidence:裏付けのデータ・実績など、根拠を補強する情報を伝える
3.Advantage:競合商品よりも優れいている点(利点)を強調する
4.Feature:商品の特徴の提示、概要の説明等を行う"
・TAPS法の形式を遵守し、内容を作成してください。	"#TAPS法の内容
1.To Be:理想の状態とはどういったものなのかを提示
2.As is:現状を把握し、理想の状態とのギャップがないかを確認する
3.Problem:理想に近づくために解決すべき問題点を示す
4.Solution:問題に対する解決策を提案"
・新PASONAの法則の形式を遵守し、内容を作成してください。	"#新PASONAの法則の内容
1.Problem:現状の問題点を共有する
2.Affinity:悩みに共感し、親近感を持ってもらう
3.Solution:問題解決の方法を提案
4.Offer:商品やサービスを提案する
5.Narrow down:ターゲットや期間を限定する
6.Action:購買を促す"
・QUESTの法則の形式を遵守し、内容を作成してください。	"#QUESTの法則の内容
1.Qualify:提案する対象を絞り込む
2.Understand:顧客の抱える問題や悩みに共感を示す
3.Educate:解決策としての商品やサービスを紹介する
4.Stimulate:問題解決を提示して刺激を与える
5.Transition:顧客の購買につなげる"
・AUDMAの法則の形式を遵守し、内容を作成してください。	"#AIDMAの法則の内容
1.Attention:商品について認知している状態
2.Interest:興味を餅期待を抱く段階
3.Desire:購入への要求が芽生え始めた段階
4.Memory:商品を記憶し、購入時期を検討し始める段階
5.Action:購入を決意して具体的な行動を起こす段階"
・SUCCESsの法則の形式を遵守し、内容を作成してください。	"#SUCCESsの法則の内容
1.Simple:分かり易い言い方で理解を促す
2.Unexpected:意外性を持たせ興味を引く
3.Concrete:具体的なデータや事例を示す
4.Credentialed:専門家からの意見などで信憑性を増す
5.Emotional:困っていることなどを問いかけ、感情に訴える
6.Story:物語性を持たせ記憶に残るように伝える"
・AIDAの法則の形式を遵守し、内容を作成してください。	"#AIDAの法則の内容
1.Attention:読み手の注意をひく内容
2.Interest:読み手の関心や共感をえる内容
3.Desire:悩みや問題解決できるということを伝える内容
4.Action:読み手に最終的に取ってほしい行動を伝える内容"
